Artist,Genres,Songs,Popularity,Link,SName,SLink,Lyric,language
The Animals,Rock,108.0,2.5,/the-animals/,Letter From the County Farm,/the-animals/letter-from-the-county-farm.html,"Letter from the county farm, letter from the county farm
And the wind it has been blowin'
Its been blowin' so strong
They're afraid to raise the flag 'less it gets torn to shreds
But God forbid the wind should ever stop blowin'
But if it did
I'm sure we'd all fall down
But sometimes it isn't windy
Like last February
I remember it snowed
and a week later it hailed
And now it looks like raining
Now it looks like raining
I'm convinced that what makes the rain and hail so heavy over here
is that the sherrif has been messing with out minds.
handin' out questionnaries to the pris'ners who are blind
to the pris'ners who are blind
Let me tell you one thing new at the county farm
They've got muzak in the fields
which makes this life of mine a little more unreal
a little more unreal
But I wish they'd kill the sounds, I wish they'd kill the sounds
You don't knowwhat it's like to hear Debussy in a California prison field
And I love
I love to sing while I'm workin'
I love to sing while I'm workin'
And the wind has been blowin'
And the wind has been blowin'

I've given up reading for a time and taken up other pastimes
Such as watchin' winos gum their food and epileptics havin' bad times
More frequently I've been lost in this game
And it looks like they're gonna make a crim'nal out of me
A criminal out of me
But those guys who are down on me winnin'
Lord knows, they take the game so seriously
But what hurts me more, burts me more than anything
Is when I get your mail
When I get your mail, they've cut you
They've cut out the parts and the words that have feeling
So I'm left with only part of you
I say I'm only left with part of you
And the wind has been blowin'
And the wind has been blowin'

Oh, play your guitar, baby
Play your guitar, baby,
Get me off this farm, baby, take me away...

And apart from all this crap there is some peace and quiet
Except for the screws grumbling and mumbling and calling me a long hair
I wouldn't mind, but they cut my hair quite some time ago
They cut it off when I first came here
Which tells me Indo-China is really here behind this wire
And it soon will be dying engulfed in their own fire, in their own fire
In fact, they tell me that a boy like me shouldn't think like that
But this is murder and everybody accepts that.
Lord knows, they all accept it, and everybody knows thatt ain't where its at
So take care, pray for rain and maybe I'll see you
Visiting hours next week
And when the screw, when the screw says no touching,
Lord knows, I'll turn the other cheek.

(Burdon, Gordon)
",en
Marianne Faithfull,Rock,248.0,0.0,/marianne-faithfull/,The Most of what is Least,/marianne-faithfull/the-most-of-what-is-least.html,"I'm staring at the setting of the sun
For I know my time with you is nearly gone
And my minutes, they're so precious, yes, each and every one
As I try to make the most of what is least.

I've a weary kind of feeling in my mind,
I'll try to look ahead and not behind.
And I know that you don't mean to be unkind
As I try to make the most of what is least.

The rain is dripping down my window pane
And if you came back to me, it wouldn't be the same.
I know the end is near and I'll try to battle on
As I try to make the most of what is least.

I'm staring at the setting of the sun
For I know my time with you is nearly gone
And my minutes, they're so precious, yes, each and every one
As I try to make the most of what is least.

Lonely nights down by the railroad track,
I see you going and never coming back.
I'll try, I'll try, I'll try to battle on
",en
Fiona Apple,Rock,77.0,1.0,/fiona-apple/,Ugly Girl,/fiona-apple/ugly-girl.html,"When I saw you at the groccerie store
You were sharin a shopping cart with her
And I couldn’t turn and run away
I didn’t know what to say
You introduced us for the first time
And I had to look her in the eye
But you could not have imagined my surprise
Can’t you see?
You’re leaving me
For an ugly girl
Does she talk about politics?
And all that stuff that used to makes me sick
Does she smoke cigars and stay up late
Oh she’s so great
Does she tell you what you want to hear?
And I bet she could grow a pear
I feel better thinking you`re a queer
It’s not fair
I can’t compare
To an ugly girl
To an ugly girl
Lalalalalala lalalalalalala lalalalalalalala
Lalalalalalala
Lalalalalalalala
Lalalalalala hhahah
Hahaha the jokes on me
I feel jealous and I feel mean
She’s so nice
That it makes up for her face
There’s no way, do you have to keep your eyes closed
Do you have to keep the lights down low?
Oh I bet you wish you had a blind fold
CAN""T (instead of don't) you see you’re leaving me
For an ugly girl
For an ugly girl
She’s an ugly girl
A real ugly girl
Lalalalalalala lalalalalala lalalalalala lalalalalalala
She’s an ugly girl
An ugly girl ahh huhhh

--
letra por Alas°",en
David Bowie,Rock,463.0,6.8,/david-bowie/,Working Class Hero,/david-bowie/working-class-hero.html,"As soon as you're born they make you feel small
By giving you no time instead of it all
Till the pain is so big you feel nothing at all
A working class hero is something to be
A working class hero is something to be

They hurt you at home and they hit you at school
They hate you if your clever and they despise a fool
Till you're so fucking crazy you can't fallow their rules
A working class hero is something to be
A working class hero is something to be

When they've tortured and scared you for 20 odd years
Ah then they expect you to pick a career
When you can't really function you're so full of fear
A working class hero is something to be
A working class hero is something to be

Keep you doped wit religion and sex and TV
And you think you're so clever and classless and free
But you're still fucking peasants as far as I can see
A working class hero is something to be
A working class hero is something to be

There's room at the top they are telling you still
But first you must smile as you kill
But if you want to be like the folks on the hill

A working class hero is something to be
A working class hero is something to be
If you want to be a hero well just follow me
If you want to be a hero well just follow me
",en
The Animals,Rock,108.0,2.5,/the-animals/,You're On My Mind,/the-animals/youre-on-my-mind.html,"Mondayâ€¦Friday
Weekdayâ€¦Holidayâ€¦Yeahâ€¦
Every single empty day
You're on my mind
Yeah, youâ€¦.are my mind
Irelandâ€¦Germany
When I'm awayâ€¦you, I say
Every lonely place I go
You're on my mind
Oh yeah, you're on my mind
I tried forgettin' you
Tried to maintain my cool
But the existenceâ€¦of youâ€¦effects my life
If you would forget the past
And maybe somedayâ€¦take me back
I'd rest easy in my bed tonight
You know I'd say now
Day timeâ€¦night time
Good timesâ€¦bad times
When I was down and showed up Bâ€¦.
You're on my mind
Oh yeah, you're on my mind
I tried forgettin' you girl
Tried to maintain my cool, yeah
But your existenceâ€¦effects my life
Baby, If you would forget the past
And maybe take me back
I'd rest easy in my lonely bed tonight
You know I mean it
Mondayâ€¦Friday
Weekdayâ€¦Saturday
Holidayâ€¦Yeah
Every single empty day
You're on my mind
Oh yeah, you are my mind
Yeahâ€¦you're on my mind
",en
Sheryl Crow,Rock,153.0,1.4,/sheryl-crow/,When Love is Over,/sheryl-crow/when-love-is-over.html,"I know I ask for nothing
And thatâ€™s what I got from you tonight
I guess I thought youâ€™d changed
Leaving becomes too easy
Easy by morning light
I still cannot explain

Is it enough to ask and not receive
Just one more kiss before you turn and leave
When love is over
Over it should be
But something still burns in me

A hundred solid reasons
The answers come in waves
But I'm all for calmer seas
Youâ€™re only lost in the shuffle
But in your usual way
Itâ€™s you who always comes to me

Iâ€™ve burned up pages
Hidden yesterdays
Hereâ€™s one more glance before I turn away
When love is over
Over it should stay
But something wonâ€™t go away

Hardly a moment passes
Hardly a single day goes by
Iâ€™m not remembering
Just to surrender slowly
Into a strangerâ€™s arms
But you stand watching in the wings

These must be days weâ€™ve seen through tear-filled eyes
It all makes painful sense when I realize
When love is over
Something has to die
Cause you can say goodbye

",en
Badfinger,Rock,120.0,0.0,/badfinger/,Back Again,/badfinger/back-again.html,"Love me tonight, say you just might
Make me in the morning, take me without warning, please
Don't get uptight say it's alright
When the day is dawning. You can make the most out of me
But if you wake up and I'm gone. I'll be back again
You filled my nights with your love and played my games
Songs of the road See me alright
Take me where I'm going Say a little prayer for me
Doing what I like Tell me it's alright
See my disposition
Give me your prescription, please
And if you wake up and I'm gone I'll be back again
You filled my nights with your love
You played my games
And if you wake up and I'm gone I'll be back again
You filled my nights with your love
You played my games",en
Ryan Adams,Rock,231.0,0.0,/ryan-adams/,What Sin Replaces Love,/ryan-adams/what-sin-replaces-love.html,"Tell me what sin replaces love
I wanna know, right now
Tell me what sin replaces love
I wanna know, right now

Imagine yourself on a mountain
Mountain discovered with flowers
Flowers discolored with horses
Horses distracted by stones
Stone distrusted with me
Then you might know what I mean
'Cause I want to kick love right in its gut
Beat it and leave for dead
Wash my hands in the river
Lie down and die in your bed

(repeat 1st and 2nd verses)

The voice on the receiver
Baby cry howlin' in the wind
I don't wanna beg for your mercy
I wanna know right know, what sin

Tell me what sin replaces love",en
Chris Isaak,Rock,143.0,4.8,/chris-isaak/,My Happiness,/chris-isaak/my-happiness.html,"Evening shadows make me blue
When each weary day is through
How I long to be with you
My happiness
Every day I reminesce
Dreaming of your tender kiss
Always thinking how I miss
My happiness
A million years it seems
Have gone by since we shared our dreams
But I'll hold you again
There'll be no blue memories then
Whether skies are grey or blue
Any place on earth will do
Just as long as I'm with you
My happiness
A million years it seems
Have gone by since we shared our dreams
But I'll hold you again
There'll be no blue memories then
Whether skies are grey or blue
Any place on earth will do
Just as long as I'm with you
My happiness",en
Tori Amos,Rock,291.0,0.0,/tori-amos/,Lady In Blue,/tori-amos/lady-in-blue.html,"Cigarettes recommended
""Need a Light to use?""
said the Lady In Blue after the rain
What is left?
What is right..... you may understand,
I left the right man.
said the Lady In Blue,
""I left the right man.""

Boys play well into midnight
""Can I join you?""
said the Lady In Blue after the rain

""Pillow cold, but She won't stray into other lands,"" he said,
""Take my hand,"" to the Lady in Blue,
""You wronged the right man.""
Cigarettes recommended
""Need a Light to use?""
said the Lady In Blue,
""I wronged the right man""

Boys play well into midnight
""Can I join you?""
said the Lady in Blue after the rain
Boys you play well into midnight
""Can I join you?""
said the Lady In Blue
said the Lady In Blue
said the Lady In Blue,
""I can play too.""



by dave s.",en
Jimmy Eat World,Rock,153.0,0.0,/jimmy-eat-world/,Wednesday,/jimmy-eat-world/wednesday.html,"Meet a part of me that feels like every other day.
It has been seen in pictures and in alleyways.
Can see it through your walls.
Can see it through your fall.
Can see it on your floor, wrongway.
Lift your head up, Wednesday.
ItÂ?s almost 2:30.
When the walls start falling down you?ll be last to
be found.
That?s allright, malt liquor.
So you can promise me a day.
Not gonna promise nothing anyway.
Say you will,say you will and then you don?t.",en
Ryan Adams,Rock,231.0,0.0,/ryan-adams/,I Taught Myself How To Grow Old,/ryan-adams/i-taught-myself-how-to-grow-old.html,"Poor little rose, beaten by the rain
In the wind in the gale, thunder and the hail
Sometimes I feel like I'm going insane
Without the numbness or the pain so intense to feel
'Specially now it added up through the years
And I, I taught myself how to grow
Without any love and there was poison in the rain
I taught myself how to grow
'Til I was crooked on the outside, inside's broke
I taught myself how to grow old

Most of the time I got nothing to say
When I do it's nothing and nobody's there to listen anyway
I know I'm probably better off this way
I just listen to the voices on the TV 'til I'm tired
My eyes grow heavy and I fade away

'Cause I, I taught myself how to grow
Without any love and there was poison in the rain
I taught myself how to grow
So I was crooked on the outside
I taught myself how to grow
Without any love and there was poison in the rain
I taught myself how to grow
'Til I was crooked on the outside, inside's caved
Crooked on the outside, inside's caved
Crooked on the outside, inside's caved
I taught myself how to grow old",en
David Bowie,Rock,463.0,6.8,/david-bowie/,All The Young Dudes,/david-bowie/all-the-young-dudes.html,"Now Billy rapped all night 'bout his suicide
Kick it in the head when he was 25
All that speed jive
Don't wanna stay alive when you're 25

Lucy's stealing clothes from unlocked cars
Freddy's got zits from picking off the stars from his face
Funky little boat race
Oh the television man is crazy
Saying we're juvenile delinquent wrecks
Oh man I need TV when I got T. Rex
Brother you guessed
I'm a dude yeah

All the young dudes
Carry the news
Boogaloo dudes
Carry the news

All the young dudes
Carry the news
Boogaloo dudes
Carry the news

Now Jimmy looks sweet 'cause he dresses like a queen
But he can kick like a mule
It's a real mean team
We can love
Oh yes, we can love
Brother's back at home
With his Beatles and his Stones
We never got if off on that revolution stuff
It was such a drag
Too many snags
Well I drunk a lot of wine
And I'm feeling fine
Gonna race some cat to bed
Is there concrete all around
Or is it in my head
Brother you guessed
Well I'm a dude yeah

All the young dudes
Carry the news
Boogaloo dudes
Carry the news

All the young dudes
Carry the news
Boogaloo dudes
",en
Marianne Faithfull,Rock,248.0,0.0,/marianne-faithfull/,Lies,/marianne-faithfull/lies.html,"How come you don't realise the shape you're in
Sweatin' over lies to justify the naked sin within
A spineless irritation from some time before
When more than life was cursin' through my veins.

You made me and you slayed me and you tortured me
Laughing as you lay upon our bed of bloody love â€” and left me.
Think about me, drink about me, I don't care,
'Cause now I realise the shape I'm in.

If I was alive, I'd open up the gates for you,
If I'd only cried aloud, I'd still be here.
In my other life, I'm making plans for you, my dear,
So come on babe, your time is drawing near.

Across the street they're eating now and holding hands,
An image of a priest with bibles lain across his hands for me.
Don't think about me, drink about me, I don't care,
'Cause now I realise the shape I'm in.

If I was alive, I'd open up the gates for you,
If I'd only cried aloud, I'd still be here.
In my other life, I'm making plans for you, my dear,
So come on babe, your time is drawing near.

In the house, my mother's house, the clocks have all stood still,
An empty picture frame upon a dirty window sill .
In the yard, my father's yard, a tombstone breaks in two,
Shattered by a lying snake like you.
",en
David Bowie,Rock,463.0,6.8,/david-bowie/,Silly Boy Blue,/david-bowie/silly-boy-blue.html,"Mountains of Lhasa are feeling the rain
People are walking the Botella lanes
Preacher takes the school
One boy breaks a rule

Silly Boy Blue, blue
Silly Boy Blue

Yak butter statues that melt in the sun
Cannot dissolve all the work you've not done
A chela likes to feel
That his overself pays the bill

Silly Boy Blue, Blue
Silly Boy Blue

You wish and wish, and wish again
You've tried so hard to fly
You'll never leave your body now
You've got to wait to die

La la la la la , la la , la la la la
La la la la la , la la , la la la la
La la la , la la
La la la , la la
Silly Boy Blue, blue
Silly Boy Blue

Child of Tibet, you're a gift from the sun
Reincarnation of one better man
The homeward road is long
You've left your prayers and song

Silly Boy Blue , blue
Silly Boy Blue
Silly Boy Blue
",en
Bruce Springsteen,Rock,505.0,5.2,/bruce-springsteen/,English Sons,/bruce-springsteen/english-sons.html,"Girl, on the edge flippin off the lamp
There'll be an end darling to your endless night
On the other side of the street.
Yea, the light on your portrait and the light in your face
And you'll be looking for another pretty place
Baby, this side of the street.

Well, keep dreaming baby that your desire brings and girl
I know the sadness that you find in things, it's true
Well, baby if you cant take the heat, what can I do?

Well, you and your poetry and your boku (? !) world
Behind the face you hide the face of a modern girl
On the other side of the street.
Yea, you've got the look as if you owe the world
Therefore, you go out there and say what you can earn
On the wrong side of the street.

Well, you tire of every day bringing the same and so you
Go out looking for some strange new games
Well, pretty soon you don't know the score anymore.

All right now...

I know the danger that your desire brings
And I know the strangeness that you'll find
Wait and it will seem straighter for you and for me.
Well, turn on the end and baby turn off the lamps
There'll be an end darling to this endless night
On the other side of the street.

Yea, and everyday - well- it just brings the same
You started looking for some very strange new games
On the wrong side of the street.
Well, you and your desires lead to confusion
Well, walk away as I don't follow your illusions
And see, open your eyes and see, girl.

All right..........",en
Warren Zevon,Rock,147.0,0.0,/warren-zevon/,Figurine,/warren-zevon/figurine.html,"By Warren Zevon
c. 1996 (?) Zevon Music/BMI

Well the wrong kind of people don't want you to change
They just want you to stay the same
They want to keep you in between
So hold that pose like a figurine
Figurine
Don't it make you want to scream?
Don't you get it, yet?
They think of you as a statuette

And the wrong kind of people don't want you to change
They just want you to stay the same
They're gonna ask you 'Where you been?
' Make you wait, like a mannequin
They want to keep you high and dry
To furnish them with an alibi
They want to keep you in between
So hold that pose like a figurine
Figurine
Don't it make you want to scream?
Don't you get it, yet?
They think of you as a statuette

Well the wrong kind of people don't want you to change
They want you to stay the same
They don't want you to be free
They want you to watch TV
",en
Bruce Springsteen,Rock,505.0,5.2,/bruce-springsteen/,Because The Night,/bruce-springsteen/because-the-night.html,"Take me now baby here as I am
Pull me close try an understand
I work all day out in the hot sun
Stay with me now till the mornin' comes
Come on now try and understand
The way I feel when I'm in your hands
Take me now as the sun descends
They can't hurt you now
They can't hurt you now
They can't hurt you now

Because the night belongs to lovers
Because the night belongs to us
Because the night belongs to lovers
Because the night belongs to us

What I got I have earned
What I'm not I have learned
Desire and hunger is the fire I breathe
Just stay in my bed till the morning comes
Come on now try and understand
The way I feel when I'm in your hands
Take me now as the sun descends
They can't hurt you now
They can't hurt you now
They can't hurt you now

Because the night...

Your love is here and now
The vicious circle turns and burns without
Though I cannot live forgive me now
The time has come to take this moment and
They can't hurt you now

Because the night...
",en
